Zipcode	Average_Household_Size	Prevelance	COUNTYNAME
32003	3.08	7.752127214	Clay
32011	3.1100000000000003	10.50382521	Nassau
32024	3.04	8.724038659	Columbia
32024	3.04	8.724038659	Suwannee
32024	3.04	0.071972034	Columbia
32024	3.04	0.071972034	Suwannee
32025	3.04	14.66945678	Columbia
32034	2.76	7.15208133	Nassau
32038	2.93	6.038884525	Columbia
32043	3.08	9.662341547	Clay
32043	3.08	9.662341547	Putnam
32043	3.08	0	Clay
32043	3.08	0	Putnam
32060	2.96	12.8075133	Suwannee
32065	3.21	8.522650894	Clay
32068	3.22	6.990663991	Clay
32073	3.05	8.240827846	Clay
32080	2.52	0	Flagler
32080	2.52	0	St. Johns
32080	2.52	5.925160595	Flagler
32080	2.52	5.925160595	St. Johns
32081	3.17	0.282714055	Duval
32081	3.17	0.282714055	St. Johns
32081	3.17	10.0094238	Duval
32081	3.17	10.0094238	St. Johns
32082	2.81	7.973411048	St. Johns
32084	2.94	7.427085372	St. Johns
32086	2.76	7.829614604	St. Johns
32092	2.9699999999999998	8.529205166	St. Johns
32110	3.1100000000000003	5.733639773	Flagler
32114	2.91	7.863731848	Volusia
32117	2.94	8.529801325	Volusia
32118	2.4699999999999998	5.159817352	Volusia
32119	2.6100000000000003	5.419799499	Volusia
32127	2.75	5.579314429	Volusia
32128	2.69	5.731010716	Volusia
32129	2.79	5.517241379	Volusia
32132	2.7199999999999998	5.178335535	Volusia
32136	2.5	4.936190706	Flagler
32136	2.5	4.936190706	Volusia
32136	2.5	0.048157958	Flagler
32136	2.5	0.048157958	Volusia
32137	2.67	5.025526484	Flagler
32141	2.91	4.371814408	Volusia
32159	2.34	5.167112299	Lake
32159	2.34	5.167112299	Sumter
32159	2.34	0.106951872	Lake
32159	2.34	0.106951872	Sumter
32162	2.02	0.362140816	Marion
32162	2.02	0.362140816	Sumter
32162	2.02	4.187366927	Marion
32162	2.02	4.187366927	Sumter
32164	2.89	5.538539532	Flagler
32168	2.71	6.149066079	Volusia
32174	2.65	0.007817844	Flagler
32174	2.65	0.007817844	Volusia
32174	2.65	5.585849702	Flagler
32174	2.65	5.585849702	Volusia
32176	2.5	4.730290456	Volusia
32177	2.91	9.864034271	Putnam
32205	3.06	8.041577297	Duval
32206	3.02	8.810132901	Duval
32207	3.08	8.808611362	Duval
32208	3.01	11.8251678	Duval
32209	3.23	8.324509944	Duval
32210	3.13	8.707774626	Duval
32211	3.12	7.34498135	Duval
32216	3.05	10.87075933	Duval
32217	2.81	8.045630434	Duval
32218	3.21	9.703626166	Duval
32220	3.0100000000000002	8.936137432	Duval
32221	3.2	9.45631068	Duval
32223	2.72	7.923975418	Duval
32224	3.09	7.274501793	Duval
32225	3.0700000000000003	9.040677596	Duval
32226	3.06	10.70402757	Duval
32233	2.85	7.117979102	Duval
32244	2.98	8.277499074	Duval
32246	3	9.306247456	Duval
32250	2.63	10.65110475	Duval
32254	3.1	8.606954061	Duval
32256	2.84	8.835492147	Duval
32257	2.92	8.533333333	Duval
32258	2.89	8.57033729	Duval
32259	3.26	8.381138137	St. Johns
32277	3.0300000000000002	7.736566956	Duval
32301	2.9	9.684835712	Leon
32303	2.89	8.46888078	Leon
32304	2.91	12.3380135	Leon
32305	3	8.243230313	Leon
32308	2.83	10.3636116	Leon
32309	3.02	0	Jefferson
32309	3.02	0	Leon
32309	3.02	7.035478052	Jefferson
32309	3.02	7.035478052	Leon
32310	3.11	10.50566135	Leon
32311	2.93	7.397592526	Leon
32312	2.98	7.802824635	Leon
32317	3.09	7.643183652	Leon
32322	2.71	12.99449174	Franklin
32327	3.04	0.014022787	Leon
32327	3.04	0.014022787	Wakulla
32327	3.04	9.833479404	Leon
32327	3.04	9.833479404	Wakulla
32340	2.98	11.06910498	Madison
32344	2.8	9.946584655	Jefferson
32347	3.19	10.88185044	Taylor
32351	3.16	11.94978632	Gadsden
32401	2.88	8.761973941	Bay
32404	2.99	9.865073539	Bay
