Zipcode	Proportion	Prevelance	COUNTYNAME
32003	13	7.752127214395313	Clay
32011	21	10.503825211937418	Nassau
32024	24.000000000000004	8.72403865926383	Columbia
32024	24.000000000000004	8.72403865926383	Suwannee
32024	24.000000000000004	0.07197203372403867	Columbia
32024	24.000000000000004	0.07197203372403867	Suwannee
32025	33	14.669456781687733	Columbia
32034	17	7.152081329853003	Nassau
32038	34	6.038884524744698	Columbia
32043	23	9.662341547320793	Clay
32043	23	9.662341547320793	Putnam
32043	23	0	Clay
32043	23	0	Putnam
32060	28.000000000000004	12.807513297872342	Suwannee
32065	15	8.522650893937357	Clay
32068	19	6.990663990925748	Clay
32073	22	8.24082784571966	Clay
32080	18	0	Flagler
32080	18	0	St. Johns
32080	18	5.92516059476214	Flagler
32080	18	5.92516059476214	St. Johns
32081	4	0.28271405492730206	Duval
32081	4	0.28271405492730206	St. Johns
32081	4	10.009423801830911	Duval
32081	4	10.009423801830911	St. Johns
32082	12	7.973411048167916	St. Johns
32084	28.000000000000004	7.427085372332988	St. Johns
32086	21.000000000000004	7.829614604462474	St. Johns
32092	10	8.529205165613012	St. Johns
32110	47	5.733639772589815	Flagler
32114	50	7.863731847657321	Volusia
32117	41	8.52980132450331	Volusia
32118	33	5.159817351598173	Volusia
32119	38	5.419799498746867	Volusia
32127	29.000000000000004	5.579314428580828	Volusia
32128	18	5.731010716140301	Volusia
32129	32	5.517241379310345	Volusia
32132	31	5.178335535006605	Volusia
32136	28.000000000000004	4.936190705514086	Flagler
32136	28.000000000000004	4.936190705514086	Volusia
32136	28.000000000000004	0.04815795810257645	Flagler
32136	28.000000000000004	0.04815795810257645	Volusia
32137	22	5.025526483726867	Flagler
32141	26	4.3718144080710415	Volusia
32159	28.000000000000004	5.1671122994652405	Lake
32159	28.000000000000004	5.1671122994652405	Sumter
32159	28.000000000000004	0.10695187165775401	Lake
32159	28.000000000000004	0.10695187165775401	Sumter
32162	16	0.36214081636366946	Marion
32162	16	0.36214081636366946	Sumter
32162	16	4.187366926898509	Marion
32162	16	4.187366926898509	Sumter
32164	23	5.5385395323292705	Flagler
32168	23	6.149066078976842	Volusia
32174	24	0.007817844229453728	Flagler
32174	24	0.007817844229453728	Volusia
32174	24	5.585849701944689	Flagler
32174	24	5.585849701944689	Volusia
32176	28.999999999999996	4.730290456431535	Volusia
32177	41	9.864034270813931	Putnam
32205	33	8.041577297475664	Duval
32206	51	8.810132900730018	Duval
32207	28.000000000000004	8.808611361587015	Duval
32208	44	11.82516779611556	Duval
32209	56.00000000000001	8.324509944198025	Duval
32210	30.000000000000004	8.707774626095926	Duval
32211	33	7.344981350085537	Duval
32216	27	10.870759331432607	Duval
32217	26	8.045630433690135	Duval
32218	24.000000000000004	9.703626165888107	Duval
32220	24.000000000000004	8.936137431630845	Duval
32221	20	9.45631067961165	Duval
32223	14.000000000000002	7.923975418175898	Duval
32224	15	7.274501793090926	Duval
32225	13	9.040677596422988	Duval
32226	16	10.704027573881406	Duval
32233	17	7.117979102446055	Duval
32244	25	8.277499074105249	Duval
32246	19	9.306247455852992	Duval
32250	16	10.651104749321002	Duval
32254	48	8.606954061499517	Duval
32256	16	8.835492146924473	Duval
32257	20	8.533333333333333	Duval
32258	12	8.570337289928311	Duval
32259	6	8.381138136759981	St. Johns
32277	26	7.736566956414142	Duval
32301	31	9.684835712232973	Leon
32303	27	8.468880780093595	Leon
32304	59.00000000000001	12.338013499709575	Leon
32305	37	8.24323031288872	Leon
32308	21.000000000000004	10.363611602887103	Leon
32309	14.000000000000002	0	Jefferson
32309	14.000000000000002	0	Leon
32309	14.000000000000002	7.03547805171377	Jefferson
32309	14.000000000000002	7.03547805171377	Leon
32310	44	10.505661348430262	Leon
32311	11	7.397592526051024	Leon
32312	9	7.802824634719214	Leon
32317	11	7.643183651519225	Leon
32322	38	12.99449173760641	Franklin
32327	21	0.014022787028921999	Leon
32327	21	0.014022787028921999	Wakulla
32327	21	9.833479404031552	Leon
32327	21	9.833479404031552	Wakulla
32340	42.00000000000001	11.06910497626165	Madison
32344	38	9.946584655228229	Jefferson
32347	30	10.881850440268103	Taylor
32351	38	11.949786324786325	Gadsden
32401	38	8.76197394107232	Bay
32404	25	9.865073538718578	Bay
32405	30.000000000000004	9.662210366326498	Bay
32407	20	13.038255405655146	Bay
32408	23	8.518871925360475	Bay
32425	41	11.489768879729132	Holmes
32425	41	11.489768879729132	Washington
32425	41	0.14721036360959813	Holmes
32425	41	0.14721036360959813	Washington
32428	38	0.02277385561375541	Jackson
32428	38	0.02277385561375541	Washington
32428	38	11.529264404463675	Jackson
32428	38	11.529264404463675	Washington
32433	38	8.26201264194216	Walton
32444	15	10.702522221720887	Bay
32446	28.000000000000004	13.405308142150247	Jackson
32459	12	12.52541683611224	Walton
32460	32	9.52548330404218	Jackson
32501	52	17.001975929585058	Escambia
32503	28.000000000000004	8.684602576461309	Escambia
32504	28.000000000000004	10.17640280117011	Escambia
32505	37	9.565910298246944	Escambia
32506	25	7.639646519746892	Escambia
32507	25	6.563345791983504	Escambia
32514	28.000000000000004	10.347752332485156	Escambia
32526	18	9.682412596744063	Escambia
32533	13	10.140342610978358	Escambia
32534	29.000000000000004	9.781576448243115	Escambia
32536	18	8.66210329807094	Okaloosa
32539	23	9.223059307689754	Okaloosa
32539	23	9.223059307689754	Walton
32539	23	0.013275364242806412	Okaloosa
32539	23	0.013275364242806412	Walton
32541	14.000000000000002	9.697891534669044	Okaloosa
32547	27	9.233906204485873	Okaloosa
32548	26	9.001289847060992	Okaloosa
32550	12	9.313111055402356	Walton
32561	12	0.5239294710327456	Escambia
32561	12	0.5239294710327456	Santa Rosa
32561	12	7.193954659949623	Escambia
32561	12	7.193954659949623	Santa Rosa
32563	18	9.327724606359986	Santa Rosa
32566	17	8.684629150924637	Santa Rosa
32570	24.000000000000004	9.919913212724547	Santa Rosa
32571	20	9.943693693693694	Santa Rosa
32578	16	9.200120736492606	Okaloosa
