Zipcode	Category	Proportion	Prevelance	COUNTYNAME
32003	Non-white	0.09000000000000001	7.752127214395313	Clay
32011	Non-white	0.04	10.503825211937418	Nassau
32024	Non-white	0.060000000000000005	8.72403865926383	Columbia
32024	Non-white	0.060000000000000005	8.72403865926383	Suwannee
32024	Non-white	0.060000000000000005	0.07197203372403867	Columbia
32024	Non-white	0.060000000000000005	0.07197203372403867	Suwannee
32025	Non-white	0.26	14.669456781687733	Columbia
32034	Non-white	0.08	7.152081329853003	Nassau
32038	Non-white	0.09999999999999999	6.038884524744698	Columbia
32043	Non-white	0.09999999999999999	9.662341547320793	Clay
32043	Non-white	0.09999999999999999	9.662341547320793	Putnam
32043	Non-white	0.09999999999999999	0	Clay
32043	Non-white	0.09999999999999999	0	Putnam
32060	Non-white	0.15	12.807513297872342	Suwannee
32065	Non-white	0.26	8.522650893937357	Clay
32068	Non-white	0.06999999999999999	6.990663990925748	Clay
32073	Non-white	0.27	8.24082784571966	Clay
32080	Non-white	0.01	0	Flagler
32080	Non-white	0.01	0	St. Johns
32080	Non-white	0.01	5.92516059476214	Flagler
32080	Non-white	0.01	5.92516059476214	St. Johns
32081	Non-white	0.11	0.28271405492730206	Duval
32081	Non-white	0.11	0.28271405492730206	St. Johns
32081	Non-white	0.11	10.009423801830911	Duval
32081	Non-white	0.11	10.009423801830911	St. Johns
32082	Non-white	0.04	7.973411048167916	St. Johns
32084	Non-white	0.17	7.427085372332988	St. Johns
32086	Non-white	0.05	7.829614604462474	St. Johns
32092	Non-white	0.08	8.529205165613012	St. Johns
32110	Non-white	0.12	5.733639772589815	Flagler
32114	Non-white	0.54	7.863731847657321	Volusia
32117	Non-white	0.32999999999999996	8.52980132450331	Volusia
32118	Non-white	0.06	5.159817351598173	Volusia
32119	Non-white	0.15	5.419799498746867	Volusia
32127	Non-white	0.07	5.579314428580828	Volusia
32128	Non-white	0.09999999999999999	5.731010716140301	Volusia
32129	Non-white	0.12	5.517241379310345	Volusia
32132	Non-white	0.04	5.178335535006605	Volusia
32136	Non-white	0.05	4.936190705514086	Flagler
32136	Non-white	0.05	4.936190705514086	Volusia
32136	Non-white	0.05	0.04815795810257645	Flagler
32136	Non-white	0.05	0.04815795810257645	Volusia
32137	Non-white	0.12	5.025526483726867	Flagler
32141	Non-white	0.04	4.3718144080710415	Volusia
32159	Non-white	0.04	5.1671122994652405	Lake
32159	Non-white	0.04	5.1671122994652405	Sumter
32159	Non-white	0.04	0.10695187165775401	Lake
32159	Non-white	0.04	0.10695187165775401	Sumter
32162	Non-white	0.01	0.36214081636366946	Marion
32162	Non-white	0.01	0.36214081636366946	Sumter
32162	Non-white	0.01	4.187366926898509	Marion
32162	Non-white	0.01	4.187366926898509	Sumter
32164	Non-white	0.16999999999999998	5.5385395323292705	Flagler
32168	Non-white	0.060000000000000005	6.149066078976842	Volusia
32174	Non-white	0.06	0.007817844229453728	Flagler
32174	Non-white	0.06	0.007817844229453728	Volusia
32174	Non-white	0.06	5.585849701944689	Flagler
32174	Non-white	0.06	5.585849701944689	Volusia
32176	Non-white	0.04	4.730290456431535	Volusia
32177	Non-white	0.27	9.864034270813931	Putnam
32205	Non-white	0.27	8.041577297475664	Duval
32206	Non-white	0.74	8.810132900730018	Duval
32207	Non-white	0.29	8.808611361587015	Duval
32208	Non-white	0.82	11.82516779611556	Duval
32209	Non-white	0.95	8.324509944198025	Duval
32210	Non-white	0.44	8.707774626095926	Duval
32211	Non-white	0.42000000000000004	7.344981350085537	Duval
32216	Non-white	0.29000000000000004	10.870759331432607	Duval
32217	Non-white	0.16	8.045630433690135	Duval
32218	Non-white	0.54	9.703626165888107	Duval
32220	Non-white	0.21000000000000002	8.936137431630845	Duval
32221	Non-white	0.4	9.45631067961165	Duval
32223	Non-white	0.05	7.923975418175898	Duval
32224	Non-white	0.14	7.274501793090926	Duval
32225	Non-white	0.23	9.040677596422988	Duval
32226	Non-white	0.19999999999999998	10.704027573881406	Duval
32233	Non-white	0.15	7.117979102446055	Duval
32244	Non-white	0.45	8.277499074105249	Duval
32246	Non-white	0.30000000000000004	9.306247455852992	Duval
32250	Non-white	0.04	10.651104749321002	Duval
32254	Non-white	0.62	8.606954061499517	Duval
32256	Non-white	0.3	8.835492146924473	Duval
32257	Non-white	0.18	8.533333333333333	Duval
32258	Non-white	0.22	8.570337289928311	Duval
32259	Non-white	0.09	8.381138136759981	St. Johns
32277	Non-white	0.47	7.736566956414142	Duval
32301	Non-white	0.53	9.684835712232973	Leon
32303	Non-white	0.37	8.468880780093595	Leon
32304	Non-white	0.42	12.338013499709575	Leon
32305	Non-white	0.6	8.24323031288872	Leon
32308	Non-white	0.26	10.363611602887103	Leon
32309	Non-white	0.16999999999999998	0	Jefferson
32309	Non-white	0.16999999999999998	0	Leon
32309	Non-white	0.16999999999999998	7.03547805171377	Jefferson
32309	Non-white	0.16999999999999998	7.03547805171377	Leon
32310	Non-white	0.55	10.505661348430262	Leon
32311	Non-white	0.37	7.397592526051024	Leon
32312	Non-white	0.17	7.802824634719214	Leon
32317	Non-white	0.16999999999999998	7.643183651519225	Leon
32322	Non-white	0.22	12.99449173760641	Franklin
32327	Non-white	0.17	0.014022787028921999	Leon
32327	Non-white	0.17	0.014022787028921999	Wakulla
32327	Non-white	0.17	9.833479404031552	Leon
32327	Non-white	0.17	9.833479404031552	Wakulla
32340	Non-white	0.46	11.06910497626165	Madison
32344	Non-white	0.38	9.946584655228229	Jefferson
32347	Non-white	0.09000000000000001	10.881850440268103	Taylor
32351	Non-white	0.58	11.949786324786325	Gadsden
32401	Non-white	0.31	8.76197394107232	Bay
32404	Non-white	0.19999999999999998	9.865073538718578	Bay
32405	Non-white	0.16999999999999998	9.662210366326498	Bay
32407	Non-white	0.09999999999999999	13.038255405655146	Bay
32408	Non-white	0.07	8.518871925360475	Bay
32425	Non-white	0.1	11.489768879729132	Holmes
32425	Non-white	0.1	11.489768879729132	Washington
32425	Non-white	0.1	0.14721036360959813	Holmes
32425	Non-white	0.1	0.14721036360959813	Washington
32428	Non-white	0.17	0.02277385561375541	Jackson
32428	Non-white	0.17	0.02277385561375541	Washington
32428	Non-white	0.17	11.529264404463675	Jackson
32428	Non-white	0.17	11.529264404463675	Washington
32433	Non-white	0.12	8.26201264194216	Walton
32444	Non-white	0.09999999999999999	10.702522221720887	Bay
32446	Non-white	0.25	13.405308142150247	Jackson
32459	Non-white	0.02	12.52541683611224	Walton
32460	Non-white	0.31	9.52548330404218	Jackson
32501	Non-white	0.59	17.001975929585058	Escambia
32503	Non-white	0.32999999999999996	8.684602576461309	Escambia
32504	Non-white	0.21	10.17640280117011	Escambia
32505	Non-white	0.48000000000000004	9.565910298246944	Escambia
32506	Non-white	0.27	7.639646519746892	Escambia
32507	Non-white	0.22	6.563345791983504	Escambia
32514	Non-white	0.25	10.347752332485156	Escambia
32526	Non-white	0.19999999999999998	9.682412596744063	Escambia
32533	Non-white	0.18000000000000002	10.140342610978358	Escambia
32534	Non-white	0.31000000000000005	9.781576448243115	Escambia
32536	Non-white	0.16	8.66210329807094	Okaloosa
32539	Non-white	0.16	9.223059307689754	Okaloosa
32539	Non-white	0.16	9.223059307689754	Walton
32539	Non-white	0.16	0.013275364242806412	Okaloosa
32539	Non-white	0.16	0.013275364242806412	Walton
32541	Non-white	0.06	9.697891534669044	Okaloosa
32547	Non-white	0.19	9.233906204485873	Okaloosa
32548	Non-white	0.21000000000000002	9.001289847060992	Okaloosa
32550	Non-white	0.09	9.313111055402356	Walton
32561	Non-white	0.01	0.5239294710327456	Escambia
32561	Non-white	0.01	0.5239294710327456	Santa Rosa
32561	Non-white	0.01	7.193954659949623	Escambia
32561	Non-white	0.01	7.193954659949623	Santa Rosa
32563	Non-white	0.05	9.327724606359986	Santa Rosa
32566	Non-white	0.12	8.684629150924637	Santa Rosa
32570	Non-white	0.11	9.919913212724547	Santa Rosa
32571	Non-white	0.06	9.943693693693694	Santa Rosa
32578	Non-white	0.09	9.200120736492606	Okaloosa
32578	Non-white	0.09	9.200120736492606	Walton
32578	Non-white	0.09	0.02112888620585572	Okaloosa
32578	Non-white	0.09	0.02112888620585572	Walton
32579	Non-white	0.14	7.980266976204295	Okaloosa
32583	Non-white	0.13999999999999999	9.606674612634087	Santa Rosa
32605	Non-white	0.16	5.947722648301769	Alachua
32606	Non-white	0.2	6.074567016466172	Alachua
32607	Non-white	0.29	8.936254716356656	Alachua
32608	Non-white	0.29	7.01987555125959	Alachua
32615	Non-white	0.22	8.1994866153282	Alachua
32626	Non-white	0.13	7.538146208153041	Levy
32641	Non-white	0.72	8.068721171201283	Alachua
32643	Non-white	0.1	5.743185324875707	Alachua
32643	Non-white	0.1	5.743185324875707	Columbia
32643	Non-white	0.1	5.743185324875707	Gilchrist
32643	Non-white	0.1	0.03428767358134751	Alachua
32643	Non-white	0.1	0.03428767358134751	Columbia
32643	Non-white	0.1	0.03428767358134751	Gilchrist
32643	Non-white	0.1	0.1457226127207269	Alachua
32643	Non-white	0.1	0.1457226127207269	Columbia
32643	Non-white	0.1	0.1457226127207269	Gilchrist
32653	Non-white	0.23	5.103349964362081	Alachua
32693	Non-white	0.1	8.003703080289513	Gilchrist
32693	Non-white	0.1	8.003703080289513	Levy
32693	Non-white	0.1	0.14307355664029625	Gilchrist
32693	Non-white	0.1	0.14307355664029625	Levy
32696	Non-white	0.17	8.290447089096173	Levy
32696	Non-white	0.17	8.290447089096173	Marion
32696	Non-white	0.17	0.04020585397233837	Levy
32696	Non-white	0.17	0.04020585397233837	Marion
32701	Non-white	0.24	6.582388840453357	Seminole
32703	Non-white	0.31999999999999995	6.839276082063874	Orange
32703	Non-white	0.31999999999999995	6.839276082063874	Seminole
32703	Non-white	0.31999999999999995	0.2120417387422577	Orange
32703	Non-white	0.31999999999999995	0.2120417387422577	Seminole
32707	Non-white	0.14	6.154956154956155	Seminole
32708	Non-white	0.12	6.045495664452927	Seminole
32712	Non-white	0.2	6.463001806816057	Orange
32713	Non-white	0.08	5.6289488799540495	Volusia
32714	Non-white	0.19	6.737579315973777	Seminole
32720	Non-white	0.15000000000000002	0.012337682366367477	Lake
32720	Non-white	0.15000000000000002	0.012337682366367477	Volusia
