Zipcode	Label	Proportion	Prevelance	COUNTYNAME
32003	White alone	0.91	7.752127214395313	Clay
32003	Black or African American alone	0.07	7.752127214395313	Clay
32003	American Indian and Alaska Native alone	0	7.752127214395313	Clay
32003	Asian alone	0.02	7.752127214395313	Clay
32003	Native Hawaiian and Other Pacific Islander alone	0	7.752127214395313	Clay
32011	White alone	0.96	10.503825211937418	Nassau
32011	Black or African American alone	0.04	10.503825211937418	Nassau
32011	American Indian and Alaska Native alone	0	10.503825211937418	Nassau
32011	Asian alone	0	10.503825211937418	Nassau
32011	Native Hawaiian and Other Pacific Islander alone	0	10.503825211937418	Nassau
32024	White alone	0.93	8.72403865926383	Columbia
32024	White alone	0.93	8.72403865926383	Suwannee
32024	White alone	0.93	0.07197203372403867	Columbia
32024	White alone	0.93	0.07197203372403867	Suwannee
32024	Black or African American alone	0.05	8.72403865926383	Columbia
32024	Black or African American alone	0.05	8.72403865926383	Suwannee
32024	Black or African American alone	0.05	0.07197203372403867	Columbia
32024	Black or African American alone	0.05	0.07197203372403867	Suwannee
32024	American Indian and Alaska Native alone	0	8.72403865926383	Columbia
32024	American Indian and Alaska Native alone	0	8.72403865926383	Suwannee
32024	American Indian and Alaska Native alone	0	0.07197203372403867	Columbia
32024	American Indian and Alaska Native alone	0	0.07197203372403867	Suwannee
32024	Asian alone	0.01	8.72403865926383	Columbia
32024	Asian alone	0.01	8.72403865926383	Suwannee
32024	Asian alone	0.01	0.07197203372403867	Columbia
32024	Asian alone	0.01	0.07197203372403867	Suwannee
32024	Native Hawaiian and Other Pacific Islander alone	0	8.72403865926383	Columbia
32024	Native Hawaiian and Other Pacific Islander alone	0	8.72403865926383	Suwannee
32024	Native Hawaiian and Other Pacific Islander alone	0	0.07197203372403867	Columbia
32024	Native Hawaiian and Other Pacific Islander alone	0	0.07197203372403867	Suwannee
32025	White alone	0.74	14.669456781687733	Columbia
32025	Black or African American alone	0.23	14.669456781687733	Columbia
32025	American Indian and Alaska Native alone	0.01	14.669456781687733	Columbia
32025	Asian alone	0.02	14.669456781687733	Columbia
32025	Native Hawaiian and Other Pacific Islander alone	0	14.669456781687733	Columbia
32034	White alone	0.92	7.152081329853003	Nassau
32034	Black or African American alone	0.06	7.152081329853003	Nassau
32034	American Indian and Alaska Native alone	0	7.152081329853003	Nassau
32034	Asian alone	0.02	7.152081329853003	Nassau
32034	Native Hawaiian and Other Pacific Islander alone	0	7.152081329853003	Nassau
32038	White alone	0.9	6.038884524744698	Columbia
32038	Black or African American alone	0.09	6.038884524744698	Columbia
32038	American Indian and Alaska Native alone	0	6.038884524744698	Columbia
32038	Asian alone	0.01	6.038884524744698	Columbia
32038	Native Hawaiian and Other Pacific Islander alone	0	6.038884524744698	Columbia
32043	White alone	0.89	9.662341547320793	Clay
32043	White alone	0.89	9.662341547320793	Putnam
32043	White alone	0.89	0	Clay
32043	White alone	0.89	0	Putnam
32043	Black or African American alone	0.09	9.662341547320793	Clay
32043	Black or African American alone	0.09	9.662341547320793	Putnam
32043	Black or African American alone	0.09	0	Clay
32043	Black or African American alone	0.09	0	Putnam
32043	American Indian and Alaska Native alone	0	9.662341547320793	Clay
32043	American Indian and Alaska Native alone	0	9.662341547320793	Putnam
32043	American Indian and Alaska Native alone	0	0	Clay
32043	American Indian and Alaska Native alone	0	0	Putnam
32043	Asian alone	0.01	9.662341547320793	Clay
32043	Asian alone	0.01	9.662341547320793	Putnam
32043	Asian alone	0.01	0	Clay
32043	Asian alone	0.01	0	Putnam
32043	Native Hawaiian and Other Pacific Islander alone	0	9.662341547320793	Clay
32043	Native Hawaiian and Other Pacific Islander alone	0	9.662341547320793	Putnam
32043	Native Hawaiian and Other Pacific Islander alone	0	0	Clay
32043	Native Hawaiian and Other Pacific Islander alone	0	0	Putnam
32060	White alone	0.85	12.807513297872342	Suwannee
32060	Black or African American alone	0.15	12.807513297872342	Suwannee
32060	American Indian and Alaska Native alone	0	12.807513297872342	Suwannee
32060	Asian alone	0	12.807513297872342	Suwannee
32060	Native Hawaiian and Other Pacific Islander alone	0	12.807513297872342	Suwannee
32065	White alone	0.74	8.522650893937357	Clay
32065	Black or African American alone	0.19	8.522650893937357	Clay
32065	American Indian and Alaska Native alone	0	8.522650893937357	Clay
32065	Asian alone	0.07	8.522650893937357	Clay
32065	Native Hawaiian and Other Pacific Islander alone	0	8.522650893937357	Clay
32068	White alone	0.92	6.990663990925748	Clay
32068	Black or African American alone	0.06	6.990663990925748	Clay
32068	American Indian and Alaska Native alone	0	6.990663990925748	Clay
32068	Asian alone	0.01	6.990663990925748	Clay
32068	Native Hawaiian and Other Pacific Islander alone	0	6.990663990925748	Clay
32073	White alone	0.73	8.24082784571966	Clay
32073	Black or African American alone	0.23	8.24082784571966	Clay
32073	American Indian and Alaska Native alone	0	8.24082784571966	Clay
32073	Asian alone	0.04	8.24082784571966	Clay
32073	Native Hawaiian and Other Pacific Islander alone	0	8.24082784571966	Clay
32080	White alone	0.99	0	Flagler
32080	White alone	0.99	0	St. Johns
32080	White alone	0.99	5.92516059476214	Flagler
32080	White alone	0.99	5.92516059476214	St. Johns
32080	Black or African American alone	0.01	0	Flagler
32080	Black or African American alone	0.01	0	St. Johns
